"Speed 
(RPM)","Torque
(Nm)","Fuel Rate
(g/sec)","BSFC
g/kW*hr","Efficiency
(%)"
1001,3.80,0.1447,1308.7,6.4
1001,20.35,0.2415,407.4,20.6
1001,34.72,0.3448,341.0,24.6
1001,44.10,0.3897,303.5,27.6
1001,57.95,0.4579,271.4,30.9
1001,66.47,0.5133,265.2,31.6
1001,71.57,0.5486,263.3,31.9
1001,87.11,0.6524,257.2,32.6
1001,100.58,0.7319,249.9,33.6
1001,108.45,0.7861,248.9,33.7
1001,116.64,0.8475,249.5,33.6
1001,129.07,0.9548,254.1,33.0
1151,3.80,0.1665,1309.2,6.4
1151,20.35,0.2766,405.8,20.7
1151,34.72,0.3846,330.8,25.4
1151,44.10,0.4420,299.3,28.0
1151,57.95,0.5309,273.6,30.7
1151,66.47,0.5940,266.9,31.4
1151,71.57,0.6322,263.8,31.8
1151,87.11,0.7472,256.2,32.7
1151,100.58,0.8395,249.3,33.7
1151,108.45,0.8994,247.7,33.9
1151,116.64,0.9660,247.4,33.9
1151,129.07,1.0804,250.0,33.6
1151,141.18,1.2093,255.8,32.8
1301,3.80,0.1881,1308.5,6.4
1301,20.35,0.3094,401.7,20.9
1301,34.72,0.4247,323.2,26.0
1301,44.10,0.4957,297.0,28.2
1301,57.95,0.6047,275.7,30.4
1301,66.47,0.6755,268.5,31.2
1301,71.57,0.7170,264.7,31.7
1301,87.11,0.8429,255.7,32.8
1301,100.58,0.9481,249.1,33.7
1301,108.45,1.0134,246.9,34.0
1301,116.64,1.0854,245.9,34.1
1301,129.07,1.2069,247.1,34.0
1301,141.18,1.3411,251.0,33.4
1301,155.60,1.5227,258.6,32.4
1301,166.65,1.6550,262.4,32.0
1501,3.80,0.2169,1308.4,6.4
1501,20.35,0.3507,394.7,21.3
1501,34.72,0.4825,318.3,26.4
1501,44.10,0.5712,296.7,28.3
1501,57.95,0.7036,278.1,30.2
1501,66.47,0.7853,270.6,31.0
1501,71.57,0.8321,266.3,31.5
1501,87.11,0.9733,256.0,32.8
1501,100.58,1.0943,249.2,33.7
1501,108.45,1.1669,246.5,34.0
1501,116.64,1.2457,244.6,34.3
1501,129.07,1.3759,244.2,34.4
1501,141.18,1.5176,246.2,34.1
1501,155.60,1.7061,251.2,33.4
1501,166.65,1.8498,254.3,33.0
1501,181.99,2.1299,268.1,31.3
1501,197.05,2.3690,275.4,30.5
1751,3.80,0.2587,1337.3,6.3
1751,20.35,0.4082,393.7,21.3
1751,34.72,0.5647,319.3,26.3
1751,44.10,0.6717,299.0,28.1
1751,57.95,0.8279,280.5,29.9
1751,66.47,0.9211,272.1,30.8
1751,71.57,0.9761,267.8,31.3
1751,87.11,1.1389,256.7,32.7
1751,100.58,1.2803,249.9,33.6
1751,108.45,1.3626,246.7,34.0
1751,116.64,1.4507,244.2,34.4
1751,129.07,1.5939,242.5,34.6
1751,141.18,1.7492,243.3,34.5
1751,155.60,1.9460,245.6,34.2
1751,166.65,2.1090,248.5,33.8
1751,181.99,2.4187,260.9,32.2
1751,197.05,2.7770,276.7,30.3
1751,207.46,2.9225,276.6,30.3
1751,216.86,2.9883,270.5,31.0
2001,3.80,0.3064,1386.0,6.1
2001,20.35,0.4746,400.6,20.9
2001,34.72,0.6532,323.2,26.0
2001,44.10,0.7725,301.0,27.9
2001,57.95,0.9513,282.0,29.7
2001,66.47,1.0576,273.4,30.7
2001,71.57,1.1206,269.0,31.2
2001,87.11,1.3078,258.0,32.5
2001,100.58,1.4695,251.0,33.4
2001,108.45,1.5616,247.4,33.9
2001,116.64,1.6593,244.4,34.3
2001,129.07,1.8179,242.0,34.7
2001,141.18,1.9896,242.1,34.7
2001,155.60,2.1966,242.5,34.6
2001,166.65,2.3702,244.3,34.3
2001,181.99,2.6403,249.3,33.7
2001,197.05,3.0132,262.7,31.9
2001,207.46,3.2830,271.9,30.9
2001,216.86,3.3727,267.2,31.4
2001,225.86,3.4310,261.0,32.1
2001,234.86,3.5225,257.7,32.6
2001,243.30,3.6535,258.0,32.5
2251,3.80,0.3513,1412.6,5.9
2251,20.35,0.5412,406.1,20.7
2251,34.72,0.7420,326.3,25.7
2251,44.10,0.8746,302.9,27.7
2251,57.95,1.0751,283.3,29.6
2251,66.47,1.1955,274.7,30.5
2251,71.57,1.2674,270.5,31.0
2251,87.11,1.4816,259.8,32.3
2251,100.58,1.6614,252.3,33.3
2251,108.45,1.7651,248.6,33.8
2251,116.64,1.8738,245.3,34.2
2251,129.07,2.0474,242.3,34.6
2251,141.18,2.2327,241.5,34.7
2251,155.60,2.4579,241.2,34.8
2251,166.65,2.6318,241.2,34.8
2251,181.99,2.9053,243.8,34.4
2251,197.05,3.2916,255.1,32.9
2251,207.46,3.6305,267.3,31.4
2251,216.86,3.7474,263.9,31.8
2251,225.86,3.8375,259.5,32.3
2251,234.86,3.9241,255.2,32.9
2251,243.30,4.0739,255.7,32.8
2500,3.80,0.3980,1440.8,5.8
2500,20.35,0.6064,409.6,20.5
2500,34.72,0.8320,329.5,25.5
2500,44.10,0.9813,306.0,27.4
2500,57.95,1.2025,285.3,29.4
2500,66.47,1.3358,276.3,30.4
2500,71.57,1.4158,272.0,30.8
2500,87.11,1.6589,261.9,32.0
2500,100.58,1.8575,253.9,33.0
2500,108.45,1.9734,250.2,33.5
2500,116.64,2.0929,246.7,34.0
2500,129.07,2.2802,242.9,34.5
2500,141.18,2.4793,241.5,34.7
2500,155.60,2.7293,241.2,34.8
