"Speed 
(RPM)","Torque
(Nm)","Fuel Rate
(g/sec)","BSFC
g/kW*hr","Efficiency
(%)"
588,6.33,0.2519,2326.7,3.6,65535,65535,65535
588,19.66,0.2547,757.9,11.1,65535,65535,65535
588,32.71,0.2613,467.4,18,65535,65535,65535
588,51.49,0.3139,356.7,23.5,65535,65535,65535
588,58.2,0.339,340.8,24.6,65535,65535,65535
588,63.19,0.3581,331.6,25.3,65535,65535,65535
588,71.53,0.3903,319.2,26.3,65535,65535,65535
588,86.93,0.4462,300.3,27.9,65535,65535,65535
588,99.7,0.4903,287.7,29.2,65535,65535,65535
588,105.44,0.5103,283.1,29.6,65535,65535,65535
588,117.29,0.5514,275,30.5,65535,65535,65535
588,131.7,0.5965,265,31.7,65535,65535,65535
588,142.78,0.6321,259,32.4,65535,65535,65535
588,166.38,0.7248,254.9,32.9,65535,65535,65535
588,187.68,0.8214,256,32.8,65535,65535,65535
800,6.33,0.3078,2088.7,4,65535,65535,65535
800,19.66,0.3338,729.7,11.5,65535,65535,65535
800,32.71,0.3579,470.2,17.9,65535,65535,65535
800,51.49,0.4396,366.9,22.9,65535,65535,65535
800,58.2,0.4729,349.2,24,65535,65535,65535
800,63.19,0.4978,338.5,24.8,65535,65535,65535
800,71.53,0.5391,323.9,25.9,65535,65535,65535
800,86.93,0.6094,301.3,27.9,65535,65535,65535
800,99.7,0.6704,288.9,29.1,65535,65535,65535
800,105.44,0.6987,284.8,29.5,65535,65535,65535
800,117.29,0.7572,277.4,30.3,65535,65535,65535
800,131.7,0.8165,266.4,31.5,65535,65535,65535
800,142.78,0.8642,260.1,32.3,65535,65535,65535
800,166.38,0.9867,254.9,32.9,65535,65535,65535
800,187.68,1.0976,251.3,33.4,65535,65535,65535
800,208.99,1.2308,253.1,33.2,65535,65535,65535
800,228.1,1.3786,259.7,32.3,65535,65535,65535
800,247.95,1.5344,265.9,31.6,65535,65535,65535
800,267.8,1.7774,285.2,29.4,65535,65535,65535
994,6.33,0.3609,1971.1,4.3,65535,65535,65535
994,19.66,0.4098,721.2,11.6,65535,65535,65535
994,32.71,0.4674,494.4,17,0.3789,400.8,20.9
994,51.49,0.5669,380.9,22,0.4963,333.5,25.2
994,58.2,0.6003,356.8,23.5,0.5359,318.5,26.4
994,63.19,0.6255,342.4,24.5,0.5655,309.6,27.1
994,71.53,0.6687,323.4,26,0.6161,298,28.2
994,86.93,0.752,299.2,28,0.7203,286.7,29.3
994,99.7,0.8336,289.2,29,0.8045,279.1,30.1
994,105.44,0.869,285.1,29.4,0.8364,274.4,30.6
994,117.29,0.9386,276.8,30.3,0.8987,265.1,31.7
994,131.7,1.0151,266.6,31.5,1.0027,263.4,31.9
994,142.78,1.0787,261.3,32.1,1.0787,261.3,32.1
994,166.38,1.2242,254.5,33,65535,65535,65535
994,187.68,1.3521,249.2,33.7,65535,65535,65535
994,208.99,1.4932,247.2,34,65535,65535,65535
994,228.1,1.6458,249.6,33.6,65535,65535,65535
994,247.95,1.8157,253.3,33.1,65535,65535,65535
994,267.8,2.0292,262.1,32,65535,65535,65535
994,286.64,2.3439,282.9,29.7,65535,65535,65535
994,298.6,2.6114,302.5,27.7,65535,65535,65535
1105,6.33,0.3935,1932.3,4.3,65535,65535,65535
1105,19.66,0.4531,716.8,11.7,65535,65535,65535
1105,32.71,0.5245,498.7,16.8,0.4469,425,19.8
1105,51.49,0.6363,384.4,21.8,0.5671,342.5,24.5
1105,58.2,0.6739,360.1,23.3,0.607,324.4,25.9
1105,63.19,0.7017,345.4,24.3,0.6371,313.6,26.8
