"Speed 
(RPM)","Torque
(Nm)","Fuel Rate
(g/sec)","BSFC
g/kW*hr","Efficiency
(%)"
711,3.15,0.1718,2637.0,3.2
711,30.68,0.2465,388.4,21.6
711,54.49,0.3254,288.7,29.1
711,80.03,0.4287,259.0,32.4
711,106.25,0.5512,250.9,33.5
711,132.57,0.6847,249.7,33.6
711,158.94,0.8208,249.7,33.6
711,184.66,0.9547,250.0,33.6
711,211.13,1.1064,253.4,33.1
1001,3.15,0.1991,2171.5,3.9
1001,30.68,0.3145,352.1,23.8
1001,54.49,0.4335,273.3,30.7
1001,80.03,0.5874,252.2,33.3
1001,106.25,0.7558,244.4,34.4
1001,132.57,0.9402,243.6,34.5
1001,158.94,1.1233,242.8,34.6
1001,184.66,1.2855,239.1,35.1
1001,211.13,1.4381,234.0,35.9
1001,237.67,1.5971,230.8,36.4
1001,263.84,1.8263,237.8,35.3
1001,289.94,2.1896,259.4,32.4
1250,3.15,0.2381,2078.5,4.0
1250,30.68,0.4051,363.1,23.1
1250,54.49,0.5442,274.7,30.6
1250,80.03,0.7327,251.8,33.3
1250,106.25,0.9385,242.9,34.6
1250,132.57,1.1570,240.0,35.0
1250,158.94,1.3848,239.6,35.0
1250,184.66,1.5944,237.4,35.4
1250,211.13,1.7889,233.0,36.0
1250,237.67,1.9782,228.9,36.7
1250,263.84,2.1543,224.5,37.4
1250,289.94,2.3360,221.6,37.9
1250,316.06,2.5460,221.5,37.9
1250,342.19,2.7237,218.9,38.4
1250,368.23,2.9017,216.7,38.7
1250,395.46,3.1356,218.1,38.5
1250,421.58,3.4183,223.0,37.7
1250,447.52,3.7418,229.9,36.5
1250,474.20,4.0310,233.8,35.9
1500,3.15,0.2690,1957.4,4.3
1500,30.68,0.4700,351.1,23.9
1500,54.49,0.6662,280.2,30.0
1500,80.03,0.9071,259.8,32.3
1500,106.25,1.1421,246.3,34.1
1500,132.57,1.3682,236.5,35.5
1500,158.94,1.6593,239.2,35.1
1500,184.66,1.9524,242.3,34.7
1500,211.13,2.1561,234.0,35.9
1500,237.67,2.3855,230.0,36.5
1500,263.84,2.5909,225.0,37.3
1500,289.94,2.7880,220.4,38.1
1500,316.06,2.9902,216.8,38.7
1500,342.19,3.2123,215.1,39.0
1500,368.23,3.4247,213.1,39.4
1500,395.46,3.6673,212.5,39.5
1500,421.58,3.9007,212.0,39.6
1500,447.52,4.1144,210.7,39.9
1500,474.20,4.3487,210.2,40.0
1500,500.39,4.5892,210.2,39.9
1500,525.70,4.9489,215.7,38.9
1750,3.15,0.3282,2046.5,4.1
