"Speed 
(RPM)","Torque
(Nm)","Fuel Rate
(g/sec)","BSFC
g/kW*hr","Efficiency
(%)"
757,4.62,0.1255,1234.2,6.8,,,
757,10.92,0.1505,626.2,13.4,,,
757,17.97,0.1746,441.5,19.0,,,
757,31.03,0.2344,343.2,24.4,,,
757,41.31,0.2791,307.0,27.3,,,
757,51.40,0.3236,286.0,29.3,,,
757,61.52,0.3705,273.7,30.7,,,
757,71.50,0.4203,267.1,31.4,,,
757,83.18,0.4722,257.9,32.5,,,
757,95.54,0.5220,248.3,33.8,,,
1008,4.62,0.1417,1046.2,8.0,,,
1008,10.92,0.1746,545.6,15.4,,,
1008,17.97,0.2165,410.8,20.4,,,
1008,31.03,0.2982,327.8,25.6,,,
1008,41.31,0.3523,290.9,28.9,,,
1008,51.40,0.4087,271.1,31.0,,,
1008,61.52,0.4687,259.8,32.3,,,
1008,71.50,0.5372,256.2,32.8,,,
1008,83.18,0.6148,252.1,33.3,,,
1008,95.54,0.6856,244.7,34.3,,,
1008,105.10,0.7580,246.0,34.1,,,
1008,115.70,0.8374,246.8,34.0,,,
1008,127.71,0.9348,249.6,33.6,,,
1251,4.62,0.1694,1007.8,8.3,,,
1251,10.92,0.2148,540.6,15.5,,,
1251,17.97,0.2685,410.5,20.4,,,
1251,31.03,0.3627,321.2,26.1,,,
1251,41.31,0.4245,282.4,29.7,,,
1251,51.40,0.4899,261.9,32.0,,,
1251,61.52,0.5610,250.6,33.5,,,
1251,71.50,0.6411,246.4,34.1,,,
1251,83.18,0.7453,246.2,34.1,,,
1251,95.54,0.8465,243.5,34.5,,,
1251,105.10,0.9344,244.3,34.3,,,
1251,115.70,1.0290,244.4,34.3,,,
1251,127.71,1.1403,245.4,34.2,,,
1388,4.62,0.1885,1011.0,8.3,,,
1388,10.92,0.2395,543.5,15.4,,,
1388,17.97,0.2965,408.7,20.5,,,
1388,31.03,0.3979,317.7,26.4,,,
1388,41.31,0.4675,280.4,29.9,,,
1388,51.40,0.5372,258.9,32.4,,,
1388,61.52,0.6149,247.6,33.9,,,
1388,71.50,0.7007,242.8,34.6,,,
1388,83.18,0.8187,243.8,34.4,,,
1388,95.54,0.9361,242.7,34.6,,,
1388,105.10,1.0288,242.5,34.6,,,
1388,115.70,1.1249,240.9,34.8,,,
1388,127.71,1.2406,240.7,34.9,,,
1388,139.57,1.3851,245.9,34.1,,,
1388,150.59,1.5090,248.3,33.8,,,
1388,163.26,1.7033,258.5,32.5,,,
1501,4.62,0.2052,1016.7,8.3,,,
1501,10.92,0.2601,545.6,15.4,,,
1501,17.97,0.3198,407.4,20.6,,,
1501,31.03,0.4274,315.4,26.6,,,
1501,41.31,0.5041,279.4,30.0,,,
1501,51.40,0.5781,257.5,32.6,,,
1501,61.52,0.6614,246.1,34.1,,,
1501,71.50,0.7516,240.7,34.9,,,
1501,83.18,0.8797,242.1,34.7,,,
1501,95.54,1.0101,242.1,34.7,,,
1501,105.10,1.1058,240.9,34.8,,,
1501,115.70,1.2023,237.9,35.3,,,
1501,127.71,1.3216,236.9,35.4,,,
1501,139.57,1.4683,240.9,34.8,,,
1501,150.59,1.5938,242.3,34.6,,,
1501,163.26,1.7790,249.5,33.6,,,
1501,176.91,2.1065,272.6,30.8,,,
