"Speed 
(RPM)","Torque
(Nm)","Fuel Rate
(g/sec)","BSFC
g/kW*hr","Efficiency
(%)"
685,14.00,0.1848,662.5,12.6
685,23.94,0.2126,445.8,18.8
685,36.92,0.2544,345.8,24.2
685,48.82,0.2972,305.5,27.4
685,54.18,0.3171,293.7,28.5
685,66.46,0.3633,274.3,30.5
685,77.43,0.4014,260.2,32.2
685,91.76,0.4575,250.2,33.5
685,99.90,0.4917,247.0,33.9
998,14.00,0.2533,623.0,13.4
998,23.94,0.3005,432.4,19.4
998,36.92,0.3639,339.5,24.7
998,48.82,0.4271,301.3,27.8
998,54.18,0.4562,290.0,28.9
998,66.46,0.5239,271.6,30.8
998,77.43,0.5799,258.0,32.5
998,91.76,0.6604,247.9,33.8
998,99.90,0.7095,244.6,34.2
998,109.20,0.7700,242.9,34.5
998,119.01,0.8312,240.6,34.8
998,128.81,0.8902,238.1,35.2
998,139.56,0.9568,236.2,35.5
998,151.02,1.0304,235.0,35.6
1098,14.00,0.2773,620.0,13.5
1098,23.94,0.3297,431.2,19.4
1098,36.92,0.3995,338.7,24.7
1098,48.82,0.4689,300.7,27.8
1098,54.18,0.5007,289.3,28.9
1098,66.46,0.5742,270.5,31.0
1098,77.43,0.6372,257.7,32.5
1098,91.76,0.7245,247.2,33.9
1098,99.90,0.7783,243.9,34.3
1098,109.20,0.8449,242.2,34.6
1098,119.01,0.9121,240.0,34.9
1098,128.81,0.9770,237.5,35.3
1098,139.56,1.0474,235.0,35.6
1098,151.02,1.1214,232.5,36.0
1098,162.85,1.2251,235.5,35.6
1277,14.00,0.3215,618.1,13.5
1277,23.94,0.3827,430.5,19.5
1277,36.92,0.4642,338.5,24.7
1277,48.82,0.5441,300.1,27.9
1277,54.18,0.5803,288.3,29.0
1277,66.46,0.6639,268.9,31.1
1277,77.43,0.7405,257.5,32.5
1277,91.76,0.8409,246.7,33.9
1277,99.90,0.9018,243.0,34.5
1277,109.20,0.9777,241.0,34.7
1277,119.01,1.0560,238.9,35.1
1277,128.81,1.1319,236.6,35.4
1277,139.56,1.2095,233.3,35.9
1277,151.02,1.2862,229.3,36.5
1277,162.85,1.3901,229.8,36.4
1277,170.20,1.4799,234.1,35.8
1277,176.43,1.5702,239.6,35.0
1497,14.00,0.3760,616.6,13.6
1497,23.94,0.4489,430.7,19.4
1497,36.92,0.5462,339.7,24.7
1497,48.82,0.6378,300.0,27.9
1497,54.18,0.6789,287.7,29.1
1497,66.46,0.7750,267.8,31.3
1497,77.43,0.8676,257.3,32.5
1497,91.76,0.9871,247.0,33.9
1497,99.90,1.0568,242.9,34.5
1497,109.20,1.1415,240.1,34.9
1497,119.01,1.2310,237.5,35.3
1497,128.81,1.3205,235.4,35.6
1497,139.56,1.4103,232.1,36.1
1497,151.02,1.4976,227.7,36.8
1497,162.85,1.6028,226.0,37.1
1497,170.20,1.6919,228.3,36.7
1497,176.43,1.7814,231.9,36.1
1497,189.72,2.0610,249.5,33.6
1747,14.00,0.4374,614.7,13.6
1747,23.94,0.5229,429.9,19.5
1747,36.92,0.6373,339.7,24.7
1747,48.82,0.7449,300.3,27.9
1747,54.18,0.7926,287.9,29.1
1747,66.46,0.9039,267.6,31.3
1747,77.43,1.0127,257.4,32.5
1747,91.76,1.1516,247.0,33.9
1747,99.90,1.2314,242.6,34.5
1747,109.20,1.3253,238.8,35.1
1747,119.01,1.4277,236.1,35.5
1747,128.81,1.5335,234.3,35.7
1747,139.56,1.6422,231.6,36.2
1747,151.02,1.7497,228.0,36.7
1747,162.85,1.8632,225.2,37.2
1747,170.20,1.9527,225.8,37.1
1747,176.43,2.0410,227.7,36.8
1747,189.72,2.3083,239.4,35.0
1747,207.03,2.8456,270.5,31.0
1996,14.00,0.4974,611.7,13.7
1996,23.94,0.5974,429.8,19.5
1996,36.92,0.7268,339.0,24.7
1996,48.82,0.8504,300.0,27.9
1996,54.18,0.9061,288.0,29.1
1996,66.46,1.0358,268.4,31.2
1996,77.43,1.1575,257.5,32.5
1996,91.76,1.3156,246.9,33.9
1996,99.90,1.4061,242.4,34.5
1996,109.20,1.5108,238.3,35.1
1996,119.01,1.6269,235.4,35.6
1996,128.81,1.7468,233.6,35.9
1996,139.56,1.8759,231.5,36.2
1996,151.02,2.0091,229.1,36.5
1996,162.85,2.1490,227.3,36.8
1996,170.20,2.2325,225.9,37.1
1996,176.43,2.3126,225.8,37.1
1996,189.72,2.5652,232.9,36.0
1996,207.03,3.0306,252.1,33.2
1996,217.81,3.4004,268.9,31.1
2246,14.00,0.5598,611.9,13.7
2246,23.94,0.6713,429.3,19.5
2246,36.92,0.8147,337.7,24.8
2246,48.82,0.9553,299.5,28.0
2246,54.18,1.0200,288.2,29.1
2246,66.46,1.1695,269.3,31.1
2246,77.43,1.3057,258.1,32.4
2246,91.76,1.4821,247.2,33.9
2246,99.90,1.5841,242.7,34.5
2246,109.20,1.7017,238.5,35.1
2246,119.01,1.8290,235.2,35.6
2246,128.81,1.9605,233.0,35.9
2246,139.56,2.1081,231.2,36.2
2246,151.02,2.2647,229.6,36.5
2246,162.85,2.4397,229.3,36.5
2246,170.20,2.5219,226.8,36.9
2246,176.43,2.6016,225.7,37.1
2246,189.72,2.8355,228.8,36.6
2246,207.03,3.2594,241.0,34.8
2246,217.81,3.6302,255.1,32.8
2496,14.00,0.6240,613.8,13.6
2496,23.94,0.7465,429.5,19.5
2496,36.92,0.9064,338.1,24.8
2496,48.82,1.0626,299.8,27.9
2496,54.18,1.1355,288.7,29.0
2496,66.46,1.3031,270.1,31.0
2496,77.43,1.4561,259.0,32.3
2496,91.76,1.6540,248.3,33.7
2496,99.90,1.7670,243.6,34.4
2496,109.20,1.8958,239.1,35.0
2496,119.01,2.0344,235.5,35.6
2496,128.81,2.1762,232.7,36.0
2496,139.56,2.3358,230.5,36.3
2496,151.02,2.5095,228.9,36.6
2496,162.85,2.6951,227.9,36.7
2496,170.20,2.7982,226.4,37.0
2496,176.43,2.8890,225.5,37.1
2496,189.72,3.1119,225.9,37.1
2496,207.03,3.4934,232.4,36.0
2496,217.81,3.8512,243.5,34.4
2496,228.59,4.3260,260.7,32.1
2745,14.00,0.6930,619.9,13.5
2745,23.94,0.8272,432.8,19.4
2745,36.92,1.0046,340.7,24.6
2745,48.82,1.1749,301.4,27.8
2745,54.18,1.2535,289.7,28.9
2745,66.46,1.4367,270.7,30.9
2745,77.43,1.6054,259.7,32.2
2745,91.76,1.8266,249.3,33.6
2745,99.90,1.9499,244.5,34.3
2745,109.20,2.0926,240.0,34.9
2745,119.01,2.2434,236.1,35.5
2745,128.81,2.3943,232.8,36.0
2745,139.56,2.5652,230.2,36.4
2745,151.02,2.7514,228.2,36.7
2745,162.85,2.9471,226.6,36.9
2745,170.20,3.0672,225.7,37.1
2745,176.43,3.1677,224.9,37.2
2745,189.72,3.3871,223.6,37.5
2745,207.03,3.7545,227.1,36.9
2745,217.81,4.0875,235.0,35.6
2745,228.59,4.5591,249.8,33.5
2995,14.00,0.7712,632.2,13.2
2995,23.94,0.9155,439.0,19.1
2995,36.92,1.1119,345.7,24.2
2995,48.82,1.2975,305.1,27.4
2995,54.18,1.3828,293.0,28.6
2995,66.46,1.5837,273.5,30.6
2995,77.43,1.7676,262.0,32.0
2995,91.76,2.0089,251.3,33.3
2995,99.90,2.1427,246.2,34.0
2995,109.20,2.3001,241.8,34.6
2995,119.01,2.4642,237.7,35.2
2995,128.81,2.6249,233.9,35.8
2995,139.56,2.8061,230.8,36.3
2995,151.02,3.0077,228.6,36.6
2995,162.85,3.2154,226.6,37.0
2995,170.20,3.3453,225.6,37.1
2995,176.43,3.4543,224.7,37.3
2995,189.72,3.6824,222.8,37.6
2995,207.03,4.0634,225.3,37.2
2995,217.81,4.3979,231.8,36.1
2995,228.59,4.8368,242.9,34.5
3245,14.00,0.8543,646.4,13.0
3245,23.94,1.0123,448.0,18.7
3245,36.92,1.2307,353.1,23.7
3245,48.82,1.4346,311.3,26.9
3245,54.18,1.5282,298.8,28.0
3245,66.46,1.7482,278.7,30.1
3245,77.43,1.9462,266.3,31.4
3245,91.76,2.2059,254.7,32.9
3245,99.90,2.3518,249.4,33.6
3245,109.20,2.5194,244.4,34.3
3245,119.01,2.6964,240.0,34.9
3245,128.81,2.8709,236.1,35.5
3245,139.56,3.0646,232.6,36.0
3245,151.02,3.2810,230.2,36.4
3245,162.85,3.5034,227.9,36.7
3245,170.20,3.6411,226.6,36.9
3245,176.43,3.7617,225.9,37.1
3245,189.72,4.0098,223.9,37.4
3245,207.03,4.4235,226.4,37.0
3245,217.81,4.7744,232.2,36.1
3245,228.59,5.2000,241.0,34.7
3494,14.00,0.9426,662.3,12.6
3494,23.94,1.1167,459.0,18.2
3494,36.92,1.3567,361.5,23.2
3494,48.82,1.5815,318.7,26.3
3494,54.18,1.6844,305.9,27.4
3494,66.46,1.9223,284.6,29.4
3494,77.43,2.1343,271.2,30.9
3494,91.76,2.4135,258.8,32.4
3494,99.90,2.5701,253.1,33.1
3494,109.20,2.7486,247.7,33.8
3494,119.01,2.9387,243.0,34.5
3494,128.81,3.1278,238.9,35.1
3494,139.56,3.3378,235.3,35.6
3494,151.02,3.5707,232.6,36.0
3494,162.85,3.8089,230.1,36.4
3494,170.20,3.9612,229.0,36.6
3494,176.43,4.0937,228.3,36.7
3494,189.72,4.3710,226.7,36.9
3494,207.03,4.8311,229.6,36.5
3494,217.81,5.2077,235.2,35.6
3494,228.59,5.6709,244.1,34.3
3994,14.00,1.1305,694.9,12.1
3994,23.94,1.3367,480.6,17.4
3994,36.92,1.6202,377.7,22.2
3994,48.82,1.8871,332.7,25.2
3994,54.18,2.0078,319.0,26.3
3994,66.46,2.2844,295.8,28.3
3994,77.43,2.5294,281.2,29.8
3994,91.76,2.8511,267.4,31.3
3994,99.90,3.0299,261.1,32.1
3994,109.20,3.2366,255.1,32.8
3994,119.01,3.4591,250.2,33.5
3994,128.81,3.6801,245.9,34.1
3994,139.56,3.9228,241.9,34.6
3994,151.02,4.1919,238.9,35.1
3994,162.85,4.4728,236.4,35.4
3994,170.20,4.6567,235.5,35.6
3994,176.43,4.8186,235.1,35.6
3994,189.72,5.1974,235.8,35.5
3994,207.03,5.8311,242.4,34.5
3994,217.81,6.2472,246.9,33.9
3994,228.59,6.7269,253.3,33.1
3994,243.60,7.5324,266.1,31.5
4494,14.00,1.3509,738.1,11.3
4494,23.94,1.5924,508.9,16.5
4494,36.92,1.9114,396.0,21.1
4494,48.82,2.2072,345.9,24.2
4494,54.18,2.3412,330.6,25.3
4494,66.46,2.6489,304.9,27.5
4494,77.43,2.9246,289.0,29.0
4494,91.76,3.2862,274.0,30.6
4494,99.90,3.4923,267.4,31.3
4494,109.20,3.7293,261.3,32.1
4494,119.01,3.9813,255.9,32.7
4494,128.81,4.2362,251.6,33.3
4494,139.56,4.5203,247.8,33.8
4494,151.02,4.8339,244.9,34.2
4494,162.85,5.1769,243.2,34.4
4494,170.20,5.4035,242.9,34.5
4494,176.43,5.6025,242.9,34.5
4494,189.72,6.0621,244.5,34.3
4494,207.03,6.7680,250.1,33.5
4494,217.81,7.2409,254.3,32.9
4494,228.59,7.7376,259.0,32.3
4494,243.60,8.4724,266.1,31.5
4993,14.00,1.5869,780.3,10.7
4993,23.94,1.8604,535.1,15.7
4993,36.92,2.2110,412.3,20.3
4993,48.82,2.5320,357.1,23.5
4993,54.18,2.6780,340.3,24.6
4993,66.46,3.0157,312.4,26.8
4993,77.43,3.3205,295.3,28.4
4993,91.76,3.7247,279.5,30.0
4993,99.90,3.9574,272.7,30.7
4993,109.20,4.2259,266.4,31.4
4993,119.01,4.5126,261.1,32.1
4993,128.81,4.8048,256.8,32.6
4993,139.56,5.1342,253.3,33.1
4993,151.02,5.5018,250.8,33.4
4993,162.85,5.9077,249.8,33.5
4993,170.20,6.1739,249.8,33.5
4993,176.43,6.4058,250.0,33.5
4993,189.72,6.9296,251.5,33.3
4993,207.03,7.6898,255.7,32.7
4993,217.81,8.1888,258.9,32.4
4993,228.59,8.6955,261.9,32.0
5797,14.00,1.9557,828.3,10.1
5797,23.94,2.2636,560.8,14.9
5797,36.92,2.6680,428.5,19.5
5797,48.82,3.0413,369.5,22.7
5797,54.18,3.2109,351.5,23.8
5797,66.46,3.6022,321.4,26.1
5797,77.43,3.9586,303.2,27.6
5797,91.76,4.4378,286.8,29.2
5797,99.90,4.7172,280.0,29.9
5797,109.20,5.0424,273.8,30.6
5797,119.01,5.3934,268.8,31.2
5797,128.81,5.7545,264.9,31.6
5797,139.56,6.1642,262.0,32.0
5797,151.02,6.6209,260.0,32.2
5797,162.85,7.1166,259.2,32.3
5797,170.20,7.4348,259.1,32.3
