Speed,Torque,Fuel Rate,BSFC,Efficiency
RPM,Nm,g/sec,g/kW*hr,%
774,2.23,0.1517,3015.5,2.8
774,10.51,0.1801,760.5,11
774,17.7,0.2061,517.2,16.2
774,32.56,0.2615,356.5,23.5
774,45.7,0.3169,307.8,27.3
774,55.61,0.3642,290.8,28.8
774,72.76,0.4463,272.3,30.8
774,87.07,0.5028,256.4,32.7
1040,2.23,0.199,2944.8,2.8
1040,10.51,0.2316,728.4,11.5
1040,17.7,0.2633,491.9,17.1
1040,32.56,0.3329,337.9,24.8
1040,45.7,0.4033,291.7,28.8
1040,55.61,0.4649,276.4,30.4
1040,72.76,0.5667,257.5,32.6
1040,87.07,0.6404,243.1,34.5
1040,91.8,0.6686,240.8,34.8
1040,99.4,0.7149,237.7,35.3
1040,113.14,0.7892,230.6,36.4
1040,130.46,0.9014,228.4,36.7
1040,140.85,0.9976,234.1,35.8
1040,151.47,1.1251,245.5,34.2
1040,161.29,1.2925,264.9,31.7
1326,2.23,0.2394,2778.6,3
1326,10.51,0.2867,707.1,11.9
1326,17.7,0.3309,484.8,17.3
1326,32.56,0.4207,334.9,25
1326,45.7,0.5073,287.8,29.2
1326,55.61,0.5829,271.8,30.9
1326,72.76,0.7064,251.7,33.3
1326,87.07,0.7975,237.5,35.3
1326,91.8,0.8291,234.1,35.8
1326,99.4,0.8822,230.1,36.5
1326,113.14,0.9779,224.1,37.4
1326,130.46,1.1117,220.9,38
1326,140.85,1.2101,222.7,37.7
1326,151.47,1.3277,227.2,36.9
1326,161.29,1.4522,233.4,35.9
1326,172.35,1.5576,234.3,35.8
1498,2.23,0.2623,2695.3,3.1
1498,10.51,0.3216,702,12
1498,17.7,0.3739,484.9,17.3
1498,32.56,0.4774,336.4,24.9
1498,45.7,0.5741,288.3,29.1
1498,55.61,0.6547,270.2,31.1
1498,72.76,0.7927,250,33.6
1498,87.07,0.8975,236.5,35.5
1498,91.8,0.9322,233,36
1498,99.4,0.9895,228.4,36.7
1498,113.14,1.0955,222.2,37.8
1498,130.46,1.2446,218.9,38.3
1498,140.85,1.345,219.1,38.3
1498,151.47,1.4556,220.5,38
1498,161.29,1.5621,222.2,37.8
1498,172.35,1.6774,223.3,37.6
1498,189.16,1.9694,238.9,35.1
1729,2.23,0.2945,2622.3,3.2
1729,10.51,0.3689,697.7,12
1729,17.7,0.4325,485.9,17.3
1729,32.56,0.5556,339.2,24.7
1729,45.7,0.6667,290.1,28.9
1729,55.61,0.7542,269.7,31.1
1729,72.76,0.9108,248.9,33.7
1729,87.07,1.0366,236.7,35.4
1729,91.8,1.0762,233.1,36
1729,99.4,1.1397,228,36.8
1729,113.14,1.2579,221.1,38
1729,130.46,1.4258,217.3,38.6
1729,140.85,1.5326,216.4,38.8
1729,151.47,1.6364,214.8,39.1
1729,161.29,1.7312,213.4,39.3
1729,172.35,1.8531,213.8,39.2
1729,189.16,2.1459,225.6,37.2
1729,204.97,2.7091,262.8,31.9
2017,2.23,0.3391,2587.3,3.2
2017,10.51,0.4295,696.2,12.1
2017,17.7,0.5045,485.9,17.3
2017,32.56,0.6539,342.2,24.5
2017,45.7,0.7864,293.3,28.6
2017,55.61,0.8886,272.3,30.8
2017,72.76,1.0638,249.2,33.7
2017,87.07,1.2164,238.1,35.2
2017,91.8,1.2633,234.5,35.8
2017,99.4,1.337,229.2,36.6
2017,113.14,1.4718,221.7,37.8
2017,130.46,1.6623,217.1,38.6
2017,140.85,1.7808,215.5,38.9
2017,151.47,1.8879,212.4,39.5
2017,161.29,1.9933,210.6,39.8
2017,172.35,2.1262,210.2,39.9
2017,189.16,2.3863,215,39
2017,204.97,2.9875,248.4,33.8
2535,2.23,0.4307,2615.3,3.2
2535,10.51,0.5449,703,11.9
2535,17.7,0.643,492.7,17
2535,32.56,0.8449,351.8,23.8
2535,45.7,1.0113,300.1,28
2535,55.61,1.1384,277.6,30.2
2535,72.76,1.37,255.3,32.9
2535,87.07,1.5636,243.5,34.5
2535,91.8,1.6222,239.6,35
2535,99.4,1.7167,234.2,35.8
2535,113.14,1.8996,227.7,36.8
2535,130.46,2.1214,220.5,38
2535,140.85,2.261,217.7,38.5
2535,151.47,2.4037,215.2,39
2535,161.29,2.5173,211.6,39.6
2535,172.35,2.6766,210.6,39.8
2535,189.16,2.9501,211.5,39.7
2535,204.97,3.4821,230.4,36.4
2535,215.87,4.0685,255.6,32.8
2995,2.23,0.5336,2742.2,3.1
2995,10.51,0.6695,730.9,11.5
2995,17.7,0.7871,510.5,16.4
2995,32.56,1.0267,361.9,23.2
2995,45.7,1.2251,307.7,27.3
2995,55.61,1.3758,284,29.5
2995,72.76,1.6396,258.6,32.4
2995,87.07,1.8711,246.7,34
2995,91.8,1.9461,243.3,34.5
2995,99.4,2.064,238.3,35.2
2995,113.14,2.2666,229.9,36.5
2995,130.46,2.5324,222.8,37.7
2995,140.85,2.7003,220,38.1
2995,151.47,2.8777,218.1,38.5
2995,161.29,3.0394,216.3,38.8
2995,172.35,3.1988,213,39.4
2995,189.16,3.5069,212.8,39.4
2995,204.97,4.0376,226.1,37.1
2995,215.87,4.589,244,34.4
3571,2.23,0.6973,3005.7,2.8
3571,10.51,0.8635,790.8,10.6
3571,17.7,1.0069,547.7,15.3
3571,32.56,1.2969,383.4,21.9
3571,45.7,1.5425,324.9,25.8
3571,55.61,1.7256,298.7,28.1
3571,72.76,2.0411,270.1,31.1
3571,87.07,2.3162,256.1,32.8
3571,91.8,2.4054,252.2,33.3
3571,99.4,2.5465,246.6,34
3571,113.14,2.7921,237.6,35.3
3571,130.46,3.097,228.5,36.7
3571,140.85,3.292,225,37.3
3571,151.47,3.4994,222.4,37.7
3571,161.29,3.6912,220.3,38.1
3571,172.35,3.9319,219.6,38.2
3571,189.16,4.2989,218.8,38.4
3571,204.97,4.7004,220.8,38
3571,215.87,5.2642,234.7,35.7
4032,2.23,0.8544,3261.5,2.6
4032,10.51,1.0419,845,9.9
4032,17.7,1.2035,579.8,14.5
4032,32.56,1.5332,401.4,20.9
4032,45.7,1.8166,338.9,24.8
4032,55.61,2.031,311.4,26.9
