"Speed 
(RPM)","Torque
(Nm)","Fuel Rate
(g/sec)","BSFC
g/kW*hr","Efficiency
(%)"
689,18.39,0.1541,418.1,20.3
689,33.61,0.2180,323.6,26.2
689,42.29,0.2538,299.4,28.3
689,50.98,0.2871,280.9,30.1
689,58.53,0.3157,269.1,31.5
919,18.39,0.2024,412.0,20.6
919,33.61,0.2819,313.9,27.0
919,42.29,0.3256,288.0,29.4
919,50.98,0.3666,269.1,31.5
919,58.53,0.4013,256.6,33.0
919,66.91,0.4408,246.5,34.4
919,76.55,0.4916,240.3,35.2
919,84.12,0.5375,239.1,35.4
1052,18.39,0.2304,409.5,20.7
1052,33.61,0.3189,310.1,27.3
1052,42.29,0.3663,283.0,29.9
1052,50.98,0.4118,263.9,32.1
1052,58.53,0.4508,251.6,33.6
1052,66.91,0.4948,241.6,35.0
1052,76.55,0.5502,234.9,36.0
1052,84.12,0.5992,232.8,36.4
1052,93.09,0.6634,232.9,36.4
1052,102.95,0.7440,236.2,35.9
1152,18.39,0.2516,408.2,20.7
1152,33.61,0.3465,307.6,27.5
1152,42.29,0.3964,279.6,30.3
1152,50.98,0.4453,260.6,32.5
1152,58.53,0.4878,248.6,34.1
1152,66.91,0.5356,238.8,35.5
1152,76.55,0.5949,231.8,36.5
1152,84.12,0.6468,229.4,36.9
1152,93.09,0.7144,228.9,37.0
1152,102.95,0.7971,231.0,36.7
1152,110.70,0.8686,234.1,36.2
1309,18.39,0.2840,405.8,20.9
1309,33.61,0.3879,303.3,27.9
1309,42.29,0.4419,274.5,30.8
1309,50.98,0.4964,255.8,33.1
1309,58.53,0.5450,244.6,34.6
1309,66.91,0.5990,235.2,36.0
1309,76.55,0.6656,228.4,37.1
1309,84.12,0.7232,225.9,37.5
1309,93.09,0.7965,224.8,37.7
1309,102.95,0.8824,225.2,37.6
1309,110.70,0.9534,226.3,37.4
1309,117.57,1.0201,227.9,37.1
1309,128.79,1.1497,234.5,36.1
1413,18.39,0.3042,402.5,21.0
1413,33.61,0.4146,300.1,28.2
1413,42.29,0.4714,271.2,31.2
1413,50.98,0.5295,252.7,33.5
1413,58.53,0.5827,242.2,35.0
1413,66.91,0.6414,233.2,36.3
1413,76.55,0.7138,226.8,37.3
1413,84.12,0.7757,224.3,37.7
1413,93.09,0.8530,222.9,38.0
1413,102.95,0.9413,222.4,38.1
1413,110.70,1.0119,222.4,38.1
1413,117.57,1.0779,223.0,38.0
1413,128.79,1.2087,228.3,37.1
1413,134.25,1.2762,231.3,36.6
1413,141.12,1.3615,234.7,36.1
1413,146.99,1.4331,237.2,35.7
1548,18.39,0.3286,397.0,21.3
1548,33.61,0.4484,296.3,28.6
1548,42.29,0.5086,267.1,31.7
1548,50.98,0.5709,248.7,34.0
1548,58.53,0.6307,239.3,35.4
1548,66.91,0.6964,231.2,36.6
1548,76.55,0.7769,225.4,37.6
1548,84.12,0.8441,222.9,38.0
1548,93.09,0.9266,221.1,38.3
1548,102.95,1.0186,219.8,38.5
1548,110.70,1.0899,218.7,38.7
1548,117.57,1.1556,218.3,38.8
1548,128.79,1.2848,221.6,38.2
1548,134.25,1.3529,223.8,37.8
1548,141.12,1.4408,226.8,37.3
1548,146.99,1.5147,228.9,37.0
1548,153.55,1.5962,230.9,36.7
1548,159.87,1.6767,233.0,36.3
1548,164.44,1.7364,234.5,36.1
1724,18.39,0.3588,389.1,21.8
1724,33.61,0.4921,292.0,29.0
1724,42.29,0.5568,262.5,32.3
1724,50.98,0.6237,243.9,34.7
1724,58.53,0.6921,235.8,35.9
1724,66.91,0.7694,229.3,36.9
1724,76.55,0.8608,224.2,37.8
1724,84.12,0.9349,221.6,38.2
1724,93.09,1.0240,219.3,38.6
1724,102.95,1.1216,217.2,39.0
1724,110.70,1.1979,215.7,39.2
1724,117.57,1.2676,215.0,39.4
1724,128.79,1.3934,215.7,39.2
1724,134.25,1.4583,216.6,39.1
1724,141.12,1.5428,218.0,38.8
1724,146.99,1.6172,219.4,38.6
1724,153.55,1.7024,221.1,38.3
1724,159.87,1.7868,222.8,38.0
1724,164.44,1.8517,224.5,37.7
1724,168.56,1.9121,226.2,37.4
1724,172.58,1.9717,227.8,37.2
1724,177.26,2.0431,229.8,36.8
1724,181.55,2.1112,231.9,36.5
1855,18.39,0.3814,384.5,22.0
1855,33.61,0.5251,289.6,29.2
1855,42.29,0.5937,260.1,32.5
1855,50.98,0.6653,241.9,35.0
1855,58.53,0.7394,234.1,36.2
1855,66.91,0.8248,228.4,37.1
1855,76.55,0.9233,223.5,37.9
1855,84.12,1.0021,220.8,38.3
1855,93.09,1.0963,218.3,38.8
1855,102.95,1.1995,215.9,39.2
1855,110.70,1.2810,214.5,39.5
1855,117.57,1.3546,213.5,39.7
1855,128.79,1.4807,213.1,39.7
1855,134.25,1.5439,213.1,39.7
1855,141.12,1.6263,213.6,39.6
1855,146.99,1.7015,214.5,39.5
1855,153.55,1.7894,216.0,39.2
1855,159.87,1.8772,217.6,38.9
1855,164.44,1.9436,219.1,38.7
1855,168.56,2.0056,220.5,38.4
1855,172.58,2.0675,222.0,38.1
1855,177.26,2.1412,223.9,37.8
1855,181.55,2.2112,225.7,37.5
1855,185.17,2.2727,227.5,37.2
1855,189.91,2.3572,230.0,36.8
1903,18.39,0.3899,383.2,22.1
1903,33.61,0.5372,288.9,29.3
1903,42.29,0.6073,259.5,32.6
1903,50.98,0.6809,241.3,35.1
1903,58.53,0.7570,233.7,36.2
1903,66.91,0.8451,228.2,37.1
1903,76.55,0.9461,223.3,37.9
1903,84.12,1.0265,220.5,38.4
1903,93.09,1.1226,217.9,38.9
1903,102.95,1.2280,215.5,39.3
1903,110.70,1.3115,214.1,39.6
1903,117.57,1.3866,213.1,39.7
1903,128.79,1.5131,212.3,39.9
1903,134.25,1.5759,212.1,39.9
1903,141.12,1.6577,212.3,39.9
1903,146.99,1.7332,213.1,39.7
1903,153.55,1.8222,214.4,39.5
1903,159.87,1.9113,216.0,39.2
1903,164.44,1.9784,217.4,38.9
1903,168.56,2.0408,218.8,38.7
1903,172.58,2.1031,220.2,38.4
1903,177.26,2.1773,222.0,38.1
1903,181.55,2.2478,223.7,37.8
1903,185.17,2.3098,225.4,37.6
1903,189.91,2.3953,227.9,37.1
1903,193.48,2.4633,230.1,36.8
2061,18.39,0.4197,380.8,22.2
2061,33.61,0.5781,287.0,29.5
2061,42.29,0.6536,257.8,32.8
2061,50.98,0.7342,240.2,35.2
2061,58.53,0.8171,232.9,36.4
2061,66.91,0.9135,227.7,37.2
2061,76.55,1.0219,222.7,38.0
2061,84.12,1.1077,219.7,38.5
2061,93.09,1.2105,216.9,39.0
2061,102.95,1.3239,214.5,39.5
2061,110.70,1.4139,213.1,39.7
2061,117.57,1.4941,212.0,39.9
2061,128.79,1.6239,210.3,40.3
2061,134.25,1.6860,209.5,40.4
2061,141.12,1.7667,208.8,40.5
2061,146.99,1.8434,209.2,40.5
2061,153.55,1.9363,210.4,40.2
2061,159.87,2.0299,211.8,40.0
2061,164.44,2.0989,212.9,39.8
2061,168.56,2.1622,214.0,39.6
2061,172.58,2.2247,215.1,39.4
2061,177.26,2.2995,216.4,39.1
2061,181.55,2.3708,217.8,38.9
2061,185.17,2.4339,219.3,38.6
2061,189.91,2.5217,221.5,38.2
